team_1,specific_1,general_1,speed_1,smart_1,passing_1,defense_1,stable_1,team_2, specific_2,general_2,speed_2,smart_2,passing_2,defense_2,stable_2,team_3,specific_3,general_3,speed_3,smart_3,passing_3,defense_3,stable_3,match,scout
614,614,614,4,4,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,836,836,836,3,1,3,2,4,8,MH
NA,NA,NA,NA,NA,NA,NA,NA,619,620,621,3,1,5,1,2,1719,1719,1719,1,3,1,3,3,9,MH
888,889,890,1,4,2,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,MH
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2377,2377,2377,2,2,4,3,4,10,MH
5338,5338,5338,5,5,2,3,4,2199,2199,2199,4,5,4,5,1,11318,11318,11318,4,5,4,3,3,10,MH
4541,4541,4541,3,1,3,5,1,3748,3748,3748,3,4,4,2,3,339,339,339,4,4,5,2,1,11,MH
1727,1727,1727,4,3,2,1,5,614,614,614,4,5,2,3,5,NA,NA,NA,NA,NA,NA,NA,NA,11,MH
NA,NA,NA,NA,NA,NA,NA,NA,4099,4099,4099,3,2,5,3,2,686,686,686,4,5,4,2,3,12,MH
619,619,619,1,3,4,1,5,NA,NA,NA,NA,NA,NA,NA,NA,2890,2890,2890,2,2,3,3,4,12,MH
5338,5338,5338,2,4,3,3,5,11415,11415,11415,3,4,1,3,3,NA,NA,NA,NA,NA,NA,NA,NA,13,MH
NA,NA,NA,NA,NA,NA,NA,NA,4472,4472,4472,1,1,5,3,2,NA,NA,NA,NA,NA,NA,NA,NA,13,MH
NA,NA,NA,NA,NA,NA,NA,NA,1731,1731,1731,2,1,3,2,4,NA,NA,NA,NA,NA,NA,NA,NA,14,MH
4099,4099,4099,2,1,4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,8592,8592,8592,3,2,3,2,2,14,MH
1629,1629,1629,1,4,3,2,1,1908,1908,1908,2,4,4,1,2,2377,2377,2377,3,2,2,1,4,15,MH
NA,NA,NA,NA,NA,NA,NA,NA,1895,1895,1895,1,5,4,4,1,11318,11318,11318,2,2,2,1,3,15,MH
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,MH
NA,NA,NA,NA,NA,NA,NA,NA,346,347,348,4,3,4,4,5,836,836,836,3,1,1,1,5,16,MH
5338,5338,5338,2,4,3,3,2,NA,NA,NA,NA,NA,NA,NA,NA,10679,10679,10679,3,3,3,2,2,17,MH
4099,4099,4099,4,2,3,1,3,339,339,339,1,1,5,1,4,9033,9033,9033,1,4,3,3,3,17,MH
2106,2106,2106,2,2,2,2,3,1731,1731,1731,2,1,1,3,3,1727,1727,1727,1,3,4,4,4,18,MH
9072,9072,9072,4,4,2,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,MH
346,346,346,3,5,4,3,2,1086,1086,1086,1,5,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,19,MH
5243,5243,5243,3,2,2,1,3,5587,5587,5587,1,2,4,2,3,5338,5338,5338,4,4,3,2,1,19,MH
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4472,4472,4472,5,3,3,1,3,20,MH
1629,1629,1629,4,4,4,4,1,10224,10224,10224,5,1,5,5,4,NA,NA,NA,NA,NA,NA,NA,NA,20,MH
3748,3748,3748,2,4,3,2,1,686,686,686,5,5,2,3,2,NA,NA,NA,NA,NA,NA,NA,NA,21,MH
NA,NA,NA,NA,NA,NA,NA,NA,10224,10224,10224,5,3,5,3,3,3136,3136,3136,2,3,3,4,4,21,MH
3258,3258,3258,5,4,2,4,4,NA,NA,NA,NA,NA,NA,NA,NA,1731,1731,1731,1,2,4,4,2,22,MH
339,339,339,1,5,5,4,3,NA,NA,NA,NA,NA,NA,NA,NA,1086,1086,1086,4,1,2,5,3,22,MH
NA,NA,NA,NA,NA,NA,NA,NA,3136,3136,3136,4,1,3,4,5,NA,NA,NA,NA,NA,NA,NA,NA,23,MH
4541,4541,4541,1,2,1,4,2,10224,10224,10224,1,4,1,1,3,620,620,620,4,5,4,2,4,23,MH
122,122,122,1,3,4,5,1,3939,3939,3939,1,5,1,5,4,NA,NA,NA,NA,NA,NA,NA,NA,24,MH
9033,9033,9033,3,5,1,5,3,9033,9033,9033,2,1,5,1,4,NA,NA,NA,NA,NA,NA,NA,NA,24,MH
401,401,401,4,1,2,1,1,346,346,346,5,1,2,4,3,888,888,888,4,1,2,4,5,25,MH
5804,5804,5804,4,2,3,2,5,3136,3136,3136,1,5,3,3,4,NA,NA,NA,NA,NA,NA,NA,NA,25,MH
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,MH
1389,1389,1389,4,4,2,1,3,10224,10224,10224,4,4,3,4,2,10224,10224,10224,1,2,4,5,5,26,MH
2890,2890,2890,4,5,2,1,5,11425,11425,11425,1,4,1,3,1,3361,3361,3361,4,3,5,1,3,27,MH
2421,2421,2421,5,5,5,4,3,NA,NA,NA,NA,NA,NA,NA,NA,449,449,449,3,4,3,4,3,27,MH
2377,2377,2377,2,4,3,1,3,5338,5338,5338,5,5,4,1,4,619,619,619,4,2,3,2,3,28,MH
3939,3939,3939,3,3,2,1,4,11415,11415,11415,1,4,3,1,2,346,346,346,3,1,3,3,4,28,MH
614,614,614,3,4,3,4,4,1908,1908,1908,4,2,5,3,5,NA,NA,NA,NA,NA,NA,NA,NA,29,MH
10004,10004,10004,4,1,5,2,4,NA,NA,NA,NA,NA,NA,NA,NA,11425,11425,11425,3,2,2,1,1,29,MH
NA,NA,NA,NA,NA,NA,NA,NA,4099,4100,4101,1,2,4,5,1,NA,NA,NA,NA,NA,NA,NA,NA,30,MH
836,837,838,5,4,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,MH
NA,NA,NA,NA,NA,NA,NA,NA,836,836,836,1,3,4,2,2,NA,NA,NA,NA,NA,NA,NA,NA,31,MH
NA,NA,NA,NA,NA,NA,NA,NA,9072,9072,9072,3,1,2,4,4,619,619,619,2,1,5,4,4,31,MH
1262,1262,1262,5,4,4,2,4,10004,10004,10004,5,5,4,5,3,1629,1629,1629,5,4,5,5,2,32,MH
422,422,422,5,4,5,4,1,346,346,346,3,3,4,3,4,2890,2890,2890,1,3,1,1,3,32,MH
339,339,339,1,3,2,5,5,NA,NA,NA,NA,NA,NA,NA,NA,9072,9072,9072,2,2,3,3,4,33,MH
2421,2421,2421,1,2,4,5,5,3361,3361,3361,1,5,4,3,4,NA,NA,NA,NA,NA,NA,NA,NA,33,MH
620,620,620,4,5,1,1,4,4541,4541,4541,2,5,3,2,3,1262,1262,1262,1,1,3,3,1,34,MH
NA,NA,NA,NA,NA,NA,NA,NA,5243,5243,5243,5,2,3,2,5,NA,NA,NA,NA,NA,NA,NA,NA,34,MH
2106,2106,2106,1,2,3,4,1,11415,11415,11415,2,2,4,2,4,2421,2421,2421,2,2,1,3,5,35,MH
1086,1086,1086,2,4,1,2,2,5338,5338,5338,2,3,1,5,3,2537,2537,2537,2,4,4,2,4,35,MH
540,540,540,4,4,1,3,2,2890,2890,2890,1,2,5,3,4,5724,5724,5724,2,4,2,3,4,36,MH
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,619,619,619,5,3,4,4,5,36,MH
11425,11426,11427,3,4,4,3,3,1262,1262,1262,5,2,3,1,3,4541,4541,4541,2,3,2,1,3,37,MH
NA,NA,NA,NA,NA,NA,NA,NA,3258,3258,3258,2,5,5,3,5,1908,1908,1908,4,3,5,1,1,37,MH
1111,1111,1111,5,5,1,1,4,NA,NA,NA,NA,NA,NA,NA,NA,540,540,540,3,2,3,5,3,38,MH
10224,10224,10224,1,4,3,3,3,1719,1720,1721,4,2,5,4,5,422,422,422,2,2,5,3,4,38,MH
1727,1727,1727,5,5,5,5,2,NA,NA,NA,NA,NA,NA,NA,NA,1895,1895,1895,1,1,2,4,4,39,MH
422,422,422,4,2,2,5,2,NA,NA,NA,NA,NA,NA,NA,NA,2377,2377,2377,4,5,3,2,1,39,MH
NA,NA,NA,NA,NA,NA,NA,NA,10224,10225,10226,2,2,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,40,MH
